AFZJ,00058324,"0001 - F-Zero (J).gba","",000582DC
AMAJ,000F3F18,"0002 - Super Mario Advance (J).gba","",000F3D98
AREJ,000A0EFC,"0003 - Battle Network RockMan EXE (J).gba","",000A0D7C
AKRJ,00020808,"0004 - Kuru Kuru Kururin (J).gba","",000207D8
AD2J,0009AA88,"0005 - Mr. Driller 2 (J).gba","",0009AA4C
ACRJ,00029904,"0006 - Chu Chu Rocket! (J).gba","",000298D4
AAMJ,00108A3C,"0007 - Akumajou Dracula - Circle of the Moon (J).gba","",001089D0
AG7J,0001D4D4,"0008 - Advance GTA (J).gba","",0001D4A4
AKWJ,00057674,"0009 - Konami Wai Wai Racing Advance (J).gba","",
ADFJ,0005D6E0,"0010 - Bakunetsu Dodge Ball Fighters (J).gba","",0005D6BC
APBJ,00126A20,"0011 - Pinobee no Daibouken (J).gba","",001269D8
AP3J,004281B4,"0012 - Power Pro Kun Pocket 3 (J).gba","",
ANPJ,00105278,"0013 - Napoleon (J).gba","",
AGTJ,00388818,"0014 - Zen-Nippon GT Senshuken (J).gba","",003887E8
AMJJ,0032D148,"0016 - Tweety to Hearty Party (J).gba","",0032D118
AGRJ,0060D7FC,"0017 - JGTO Golf Master - Japan Tour Golf Game (J).gba","",0060D790
AWPJ,0010FE58,"0018 - Winning Post (J).gba","",0010FD80
ASHJ,001A6008,"0019 - Play Novel - Silent Hill (J).gba","",001A5FD8
ABCJ,003CCBFC,"0021 - Boku wa Koukuu Kanseikan (J).gba","",003CCB9C
AMMJ,000514D0,"0023 - Momotarou Matsuri (J).gba","",000514A0
AMNJ,000F4428,"0024 - Monster Guardians (J).gba","",
AMZE,000F40D4,"0025 - Super Mario Advance (U).gba","",000F3F54
AFFJ,000C1C1C,"0026 - Final Fight One (J).gba","",000C1BEC
ABSJ,0031ABFC,"0027 - Bomberman Story (J).gba","",0031ABCC
APBE,001377F0,"0029 - Pinobee - Wings of Adventure (U).gba","",001377A8
AAMP,00106E38,"0032 - Castlevania - Circle of the Moon (E).gba","",00106DCC
ACAE,0001E654,"0034 - GT Advance - Championship Racing (U).gba","",0001E624
ACRE,00029858,"0036 - Chu Chu Rocket! (U).gba","",00029828
AEJE,003C9BA4,"0037 - Earthworm Jim (U).gba","",
ASAE,003183E0,"0039 - Army Men Advance (U).gba","",
ADFE,0005D1AC,"0040 - Super Dodge Ball Advance (U).gba","",0005D188
AFZE,00054BF8,"0041 - F-Zero - Maximum Velocity (U).gba","",00054BB0
AAME,00106E38,"0045 - Castlevania - Circle of the Moon (U).gba","",00106DCC
ATOJ,00165438,"0047 - Tactics Ogre Gaiden - The Knight of Lodis (J).gba","",00165426
AKRP,00021088,"0048 - Kuru Kuru Kururin (E).gba","",00021058
ATCP,0036BC48,"0049 - Top Gear GT Championship (E).gba","",0036BC18
AMAE,000F4368,"0050 - Super Mario Advance (E).gba","",000F41E8
ATMP,0032C8A4,"0052 - Tweety & The Magic Gems (E).gba","",0032C874
AYRJ,00067518,"0054 - Yushun Rhapsody (J).gba","",
AQAJ,00361A08,"0055 - Choro Q Advance (J).gba","",003619C0
ATRJ,002BE080,"0056 - Toy Robot Force (J).gba","",002BE05C
ABSE,0031C890,"0058 - Bomberman Tournament (U).gba","",0031C860
ABFJ,000BC52C,"0060 - Breath of Fire (J).gba","",000BC4C0
AXRJ,0030143C,"0062 - Super Street Fighter II X Revival (J).gba","",00301388
AMPJ,000E5EB0,"0063 - Mahjong Detective (J).gba","",
ATMF,0032CCE0,"0065 - Titi et Les Bijoux Magiques (F).gba","",0032CCB0
AMOJ,00053968,"0066 - EX Monopoly (J).gba","",00053938
AGBJ,00071080,"0068 - Get Backers - Jigoku no Sukaramushu (J).gba","",
AJSJ,002B5E78,"0069 - Space Hexcite X (J).gba","",002B5E60
AKLJ,00118B50,"0070 - Klonoa - Empire of Dreams (J).gba","",00118B20
AMKJ,001245C8,"0071 - Mario Kart Advance (J).gba","",00124544
ADNE,006B7CD4,"0073 - Jurassic Park III - The DNA Factor (U).gba","",006B9324
AK4J,00530E50,"0074 - Muscular Ranking (J).gba","",00530E2C
AGMJ,0060D778,"0075 - JGTO Golf Master Mobile (J).gba","",0060D70C
AZTJ,003E448C,"0076 - Mugen Kikou Zero Tours (J).gba","",000714F1
AMBJ,002E0BD8,"0078 - Mobile Pro Baseball (J).gba","",002E0BA8
AGSJ,000F3684,"0079 - Ougon no Taiyo (J).gba","",
ADQJ,004A9560,"0080 - Dokapon Q Monster Hunter (J).gba","",004A9530
AJ3J,000D3F0C,"0082 - Jurassic Park III - Park Builder (J).gba","",000D3E10
AFFP,000A52A4,"0083 - Final Fight One (E).gba","",000A5274
AABJ,0022C4BC,"0084 - Super Black Bass Advance (J).gba","",
AYMJ,0002214C,"0085 - Meine Liebe (Angel League) (J).gba","",0002211C
AMKE,00102498,"0086 - Mario Kart - Super Circuit (U).gba","",00102414
AKMJ,00091F68,"0087 - Extreme Mahjong Deluxe - Terminator 21 (J).gba","",
ADNP,006DEB10,"0089 - Jurassic Park III - The DNA Factor (E).gba","",006E0160
AWAJ,00098028,"0090 - Wario Land 4 (J).gba","",00097FC8
ATMD,0032E488,"0091 - Tweety and The Magic Gems (G).gba","",0032E458
AJQJ,0007B308,"0092 - Jurassic Park III - Advanced Action (J).gba","",0007B2CC
AGRE,005C0B48,"0093 - ESPN Final Round Golf 2002 (U).gba","",005C0ADC
AWRE,0014379C,"0095 - Advance Wars (U).gba","",00143730
ALHJ,00011454,"0097 - Love Hina Advance (J).gba","",
AGRP,005C0F70,"0099 - ESPN Final Round Golf (E).gba","",005C0F04
ATLE,003B4F80,"0102 - Atlantis - The Lost Empire (U).gba","",003B4F50
AJ3P,0011DEDC,"0103 - Jurassic Park III - Park Builder (E).gba","",0011DDE0
ATWE,00340E5C,"0104 - Tetris Worlds (U).gba","",
AMKP,00102498,"0105 - Mario Kart - Super Circuit (E).gba","",00102414
ABZE,0003A758,"0108 - NFL Blitz 2002 (U).gba","",0003A6F8
AGKJ,000CAAC8,"0109 - Gensou Suikoden Card Stories (J).gba","",000CAA98
AXSE,0030223C,"0110 - ESPN X-Games - Skateboarding (U).gba","",00302214
ARKE,00174DD0,"0112 - Rocket Power - Dream Scheme (U).gba","",
AKLE,00118AE4,"0113 - Klonoa - Empire of Dreams (U).gba","",00118AB4
AJ3E,000C8690,"0114 - Jurassic Park III - Park Builder (U).gba","",000C8594
ASEE,004C2834,"0115 - Spider-Man - Mysterio's Menace (U).gba","",
AF9J,000632AC,"0117 - Field of Nine Digital Edition 2001 (J).gba","",00063264
AMSJ,000E5DD8,"0119 - Morita Shogi Advance (J).gba","",000E5DA8
AZEJ,004E6218,"0122 - Z.O.E. 2173 Testament (J).gba","",004E61E8
ALDP,00046620,"0123 - Lady Sia (E).gba","",
AFFE,000A2CE0,"0128 - Final Fight One (U).gba","",000A2CB0
ANBJ,00258534,"0129 - Nobunaga no Yabou (J).gba","",
ALBE,0075A6D4,"0130 - Lego Bionicle (U).gba","",0075A698
AL2E,00300BCC,"0131 - Lego Island 2 - The Brickster's Revenge (U).gba","",
AKIJ,002505E0,"0132 - Kiki Kaikai Advance (J).gba","",0025052C
AKBE,0037F884,"0134 - Sports Illustrated For Kids - Baseball (U).gba","",
AHSJ,0005CCAC,"0135 - Hatena Satena (J).gba","",0005CC7C
AWTE,000F751C,"0136 - The Wild Thornberrys - Chimp Chase (U)(Venom).gba","",0002C0E8
AKFE,0030ADB0,"0138 - Sports Illustrated For Kids - Football (U).gba","",
ABOE,00528DCC,"0139 - Boxing Fever (U).gba","",00528D9C
ASBJ,0004132C,"0140 - Gyakuten Saiban (J).gba","",000412FC
AL2P,00206A3A,"0141 - Lego Island 2 - The Brickster's Revenge (E).gba","",
ALDE,0005BD68,"0142 - Lady Sia (U).gba","",
APYJ,002C105C,"0143 - Minna de Puyo Puyo (J).gba","",002C102C
ATUP,00141F28,"0144 - Steven Gerrard's Total Soccer 2002 (E).gba","",
APHE,00101FFC,"0146 - Prehistorik Man (E).gba","",
AKTJ,0045D6B4,"0147 - Hello Kitty Collection Miracle (J).gba","",0045D690
APXJ,002B6194,"0149 - Phalanx - The Enforce Fighter A-144 (J).gba","",002B6164
AKPJ,0024380C,"0150 - Nakayoshi Mahjan Kaburiichi (J).gba","",002437E8
AHBJ,000B2050,"0151 - Hamster Monogatari 2 (J).gba","",000B202C
AXSJ,00301E00,"0152 - ESPN X-Games - Skateboarding (J).gba","",00301DD8
ALBE,0075A6D4,"0153 - Lego Bionicle (E).gba","",0075A698
AYAJ,00270B40,"0156 - Dokodemo Taikyoku Yakuman Advance (J).gba","",00270B10
ASYP,001AEF10,"0159 - Spyro - Season of Ice (E).gba","",
ASYE,001AB848,"0160 - Spyro - Season of Ice (U).gba","",
ABTE,0007F79C,"0161 - Batman Vengeance (U).gba","",0007F76C
AXRP,0030177C,"0162 - Super Street Fighter II Turbo Revival (E).gba","",003016C8
AKKE,000245B0,"0163 - Kao the Kangaroo (U).gba","",00024580
AREE,000A111C,"0165 - MegaMan Battle Network (U).gba","",000A0F9C
AQAE,0035EE54,"0166 - Gadget Racers (U).gba","",0035EE0C
AGAP,000A5E7C,"0167 - Gradius Advance (E).gba","",
AMLE,0048D7D8,"0168 - M&M's Blast! (U).gba","",0048D788
AWAE,00098028,"0169 - Wario Land 4 (E).gba","",00097FC8
AGSE,000FC684,"0171 - Golden Sun (U).gba","",
ADKP,00046BF0,"0172 - Donald Duck Advance (E).gba","",00046BC0
ABTP,0007F710,"0174 - Batman Vengeance (E).gba","",0007F6E0
ASPE,0001FC88,"0177 - SpongeBob SquarePants - SuperSponge (U).gba","",0001FC70
AJNE,00069470,"0178 - Jimmy Neutron - Boy Genius (U).gba","",0006941C
ATME,0032C8D0,"0180 - Tweety and The Magic Gems (U).gba","",0032C8A0
ASWE,006D2BAC,"0181 - Star Wars - Jedi Power Battles (U).gba","",006D2C74
ARFE,0014BE08,"0184 - Razor Freestyle Scooter (U).gba","",0014BDD8
ABMP,003932F4,"0185 - Super Bust-A-Move (E).gba","",003932AC
ADQE,004B6A30,"0186 - Dokapon - Monster Hunter (U).gba","",004B6A00
ATLX,003D0850,"0188 - Atlantis - The Lost Empire (E).gba","",003D0820
A4VJ,0040A9EC,"0189 - 4V4 Arashi Get The Goal (J).gba","",0040A98C
APTE,003EFA54,"0191 - The Powerpuff Girls - Mojo Jojo A-Go-Go (U).gba","",0036E480
A2ME,0000B52C,"0192 - Madden NFL 2002 (U).gba","",0000B4CC
AFRE,00307174,"0193 - Frogger's Adventures - Temple of the Frog (U).gba","",003070B4
ADEJ,0002B044,"0195 - Adventure of Tokyo Disney Sea (J).gba","",0002B014
ATWX,0034F220,"0197 - Tetris Worlds (E).gba","",
AM3E,00210DB0,"0199 - Midway's Greatest Arcade Hits (U).gba","",00210D80
AJQE,000A521C,"0200 - Jurassic Park III - Island Attack (U).gba","",000A51E0
ADFP,0005D1D0,"0201 - Super Dodge Ball Advance (E).gba","",0005D1AC
AESE,00029C6C,"0204 - Ecks vs. Sever (U).gba","",00029C3C
